"jugador","edad","posicion","all_stars","partidos_jugados","partidos_titular","tiros_anotados_aj","tiros_intentados_aj","triples_anotados_aj","tripes_intentados_aj","tiros_2_anotados_aj","tiros_2_intentados_aj","tl_anotados_aj","tl_intentados_aj","ro_aj","rd_aj","rebotes_aj","asistencias_aj","robos_aj","tapones_aj","perdidas_aj","faltas_aj","puntos_aj"
"Thomas Bryant",25,"C",0,59,26,0.630842069620343,1.01905257400209,0.0647017507302916,0.161754376825729,0.566140318890051,0.857298197176363,0.258807002921166,0.339684191334031,0.242631565238593,0.695543820350634,0.921999947906655,0.0808771884128645,0.0485263130477187,0.0808771884128645,0.0970526260954374,0.274982440603739,1.58519289289214
"Théo Maledon",21,"PG",0,44,7,0.357511869688422,0.901551671388195,0.0932639660056754,0.341967875354143,0.264247903682747,0.559583796034052,0.217615920679909,0.264247903682747,0.0466319830028377,0.388599858356981,0.435231841359818,0.544039801699773,0.124351954674234,0.0466319830028377,0.20207192634563,0.217615920679909,1.04144762039671
"Tim Hardaway Jr.",30,"SF",0,71,45,0.545523659017205,1.35244407131349,0.340952286885753,0.875110869673433,0.204571372131452,0.477333201640055,0.204571372131452,0.261396753279077,0.0340952286885753,0.363682439344803,0.397777668033379,0.204571372131452,0.0795555336066757,0.0227301524590502,0.0909206098362009,0.193206295901927,1.63657097705162
"Tobias Harris",30,"SF",0,74,74,0.610439683343541,1.22087936668708,0.182060958190179,0.471216597668699,0.428378725153362,0.749662769018384,0.160642021932511,0.182060958190179,0.0963852131595065,0.514054470184035,0.610439683343541,0.267736703220851,0.0963852131595065,0.0535473406441703,0.128513617546009,0.214189362576681,1.57429181493861
"Tony Bradley",25,"C",0,12,0,0.238393047630775,0.47678609526155,0.143035828578465,0.19071443810462,0.143035828578465,0.28607165715693,0.143035828578465,0.143035828578465,0.047678609526155,0.38142887620924,0.429107485735395,0.047678609526155,0.047678609526155,0.047678609526155,0.047678609526155,0.09535721905231,0.76285775241848
"Torrey Craig",32,"PF",0,79,60,0.381166958563296,0.828052358258194,0.170867946942167,0.420598023242257,0.210299011621129,0.407454335015937,0.0525747529052822,0.0788621293579233,0.23658638807377,0.47317277614754,0.709759164221309,0.197155323394808,0.0788621293579233,0.105149505810564,0.118293194036885,0.302304829205372,0.97263292874772
"Trae Young",24,"PG",0,73,73,0.843079676032602,1.95347729812432,0.215910648740057,0.64773194622017,0.627169027292546,1.30574535190415,0.801953838177354,0.904768432815476,0.0822516757104978,0.226192108203869,0.308443783914367,1.04870886530885,0.113096054101934,0.0102814594638122,0.421539838016301,0.143940432493371,2.6937423795188
"Tre Jones",23,"PG",0,68,65,0.583534576092607,1.27210537588188,0.081694840652965,0.268425905002599,0.513510426961494,1.00367947087928,0.256755213480747,0.291767288046303,0.0933655321748171,0.32677936261186,0.420144894786677,0.770265640442241,0.151718989784078,0.0116706915218521,0.186731064349634,0.16338968130593,1.50551920631893
"Tre Mann",21,"PG",0,67,5,0.479814588655117,1.24089979824599,0.198543967719359,0.628722564444636,0.281270620935758,0.595631903158076,0.0992719838596793,0.132362645146239,0.0661813225731196,0.314361282222318,0.380542604795438,0.297815951579038,0.0992719838596793,0.0330906612865598,0.148907975789519,0.248179959649198,1.27399045953255
"Trendon Watford",22,"PF",0,62,12,0.455606673491549,0.816949897295192,0.0628422997919378,0.157105749479844,0.392764373699611,0.659844147815347,0.188526899375813,0.251369199167751,0.109974024635891,0.502738398335502,0.597001848023409,0.329922073907673,0.0785528747399222,0.0314211498959689,0.172816324427829,0.298500924011705,1.16258254615085
